movie_ID,director,top_actors
173705,Yasuaki Uegaki,"Rushia Santô, Rina Oka, Kyôko Sagami"
1147710,Kim Sung-han,"Ha Jung-woo, Yeo Jin-goo, Sung Dong-il"
637649,Guy Ritchie,"Jason Statham, Holt McCallany, Josh Hartnett"
1137205,Alan Scott Neal,"Jessica Belkin, Jeremy Sisto, Taylor Kowalski"
603692,Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård"
1120911,Jason Reitman,"Gabriel LaBelle, Rachel Sennott, Cory Michael Smith"
1011985,Mike Mitchell,"Jack Black, Awkwafina, Viola Davis"
939243,Jeff Fowler,"Jim Carrey, Ben Schwartz, Keanu Reeves"
1156593,Domingo González,"Nicole Wallace, Gabriel Guevara, Marta Hazas"
1373893,Ismael Vazquez Nervión,"Jose Valero, Gregor Acuña-Pohl"
824003,Antonio Manetti,"Giacomo Gianniotti, Miriam Leone, Valerio Mastandrea"
783110,Ryoo Seung-wan,"Kim Hye-soo, Yum Jung-ah, Zo In-sung"
1141182,Lowell Dean,"Douglas Smith, Carrie-Anne Moss, Frank Grillo"
718821,Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos"
1147400,Thomas Astruc,"Annouck Hautbois, Benjamin Bollen, Marie Nonnenmacher"
385687,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson"
940551,Benjamin Renner,"Kumail Nanjiani, Elizabeth Banks, Caspar Jennings"
1153291,Alex Bries,"Gabriel Ng, Carolina Herrera, Santiago Rodríguez"
786892,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke"
507241,J.J. Perry,"Dave Bautista, Sofia Boutella, Terry Crews"
1144911,Austin Peters,"Elizabeth Banks, Lewis Pullman, Michaela Jaé Rodriguez"
693134,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
1152774,Inés París,"María Caballero, Morgan Blasco, Javier Butler"
588648,Jian-Ping Li,"Lucía Pérez, Mario Gas, Fernando Castro"
762441,Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn, Alex Wolff"
259872,Jennifer Lyon Bell,"Wim van Damme, Floor Wyns"
820530,Naoyuki Tatsuwa,"Hiroki Takahashi, Yuki Ono, Kohsuke Toriumi"
1160018,Nikhil Nagesh Bhat,"Lakshya Lalwani, Raghav Juyal, Tanya Maniktala"
1064028,SK Dale,"Megan Fox, Michele Morrone, Madeline Zima"
1329336,Kevin Peaty,"Michael Godere, Ezekiel Ajeigbe, Raul Ceballos"
1255208,David Andrew James,"John Wells, Madison Pullins, Patrick Taft"
1079485,Rhys Frake-Waterfield,"Scott Chambers, Ryan Oliva, Marcus Massey"
1087822,Brian Taylor,"Jack Kesy, Jefferson White, Adeline Rudolph"
1361292,Vaughn Stein,"Jordana Brewster, Scott Speedman, Laurence Fishburne"
365177,Eli Roth,"Cate Blanchett, Kevin Hart, Edgar Ramírez"
156022,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz"
1047373,Brad Anderson,"Joel Kinnaman, Sandra Mae Frank, Mekhi Phifer"
974950,Jacques Audiard,"Karla Sofía Gascón, Zoe Saldaña, Selena Gomez"
1249532,Ryan Coonan,"Michael Biehn, Tess Haubrich, Aaron Pedersen"
634649,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
667538,Steven Caple Jr.,"Anthony Ramos, Dominique Fishback, Peter Cullen"
671,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
464026,Sin Jeong-gyoon,"Sung Eun-chae, Jang Sung-won, Woo Do-hwan"
1138194,Scott Beck,"Hugh Grant, Sophie Thatcher, Chloe East"
18183,Alfonso Arau,"Lumi Cavazos, Regina Torné, Ada Carrasco"
1114513,James Watkins,"James McAvoy, Mackenzie Davis, Scoot McNairy"
299536,Joe Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth"
1066262,Lee Tamahori,"Guy Pearce, Tioreore Ngatai-Melbourne, Antonio Te Maioha"
1337309,Kongkiat Khomsiri,"Sukollawat Kanarot, Atitaya Tribudarak, Sanya Kunakorn"
3933,Mike Johnson,"Johnny Depp, Helena Bonham Carter, Emily Watson"
243352,Chris Dowling,"Danica McKellar, William Zabka, Kerr Smith"
1139566,Marçal Forés,"Clara Galle, Julio Peña, Natalia Azahara"
1357459,Jojo Nadela,"Mariane Saint, Marlon Marcia, Skye Gonzaga"
929590,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny"
1215162,Valeri Milev,"Jean-Claude Van Damme, Jacqueline Fernandez, Andrei Lenart"
877817,Jon Watts,"George Clooney, Brad Pitt, Austin Abrams"
882598,Parker Finn,"Sosie Bacon, Kyle Gallner, Jessie T. Usher"
831815,Liza Johnson,"Carolyn Lawrence, Tom Kenny, Clancy Brown"
1306764,Carlo Ledesma,"Sid Lucero, Beauty Gonzalez, Marco Masa"
438631,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac"
829557,Barbara Białowąs,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna"
354912,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
569094,Justin K. Thompson,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
238,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
1089123,Benjamin Barfoot,"Julia Brown, Nathaniel Martello-White, Charles Aitken"
177572,Chris Williams,"Scott Adsit, Ryan Potter, Daniel Henney"
1217134,,"Christian Villete, Beverly Benny"
826510,Carlos Saldanha,"Zachary Levi, Lil Rel Howery, Zooey Deschanel"
278,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
323260,Amen Au Cheuk-Man,"Dominic Ho, Candy Yuen, Jeana Ho Pui-Yu"
86328,Damien Leone,"Marie Maser, Mike Giannelli, Michael Chmiel"
1059264,Jérémie Degruson,"Monica Young, Danny Fehsenfeld, Olivier Paris"
587727,Junsei,"Yoo Jung, Kang Min-sik, Kim Wan- jin"
1104844,Shunsuke Ishikawa,"Nobunaga Shimazaki, Yuma Uchida, Kazuyuki Okitsu"
923667,Soi Cheang,"Raymond Lam Fung, Louis Koo, Terrance Lau"
974262,Jennifer Phang,"Kylie Cantrall, Malia Baker, Ruby Rose Turner"
1226578,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood"
16869,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz"
414906,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright"
420818,Jon Favreau,"Chiwetel Ejiofor, John Oliver, Donald Glover"
324786,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn"
1154215,Florent-Emilio Siri,"Roschdy Zem, Laëtitia Eïdo, Nabil Elouahabi"
1359227,Ken Cunningham,"Will Friedle, Kevin Smith, John Stamos"
16219,Rowdy Herrington,"James Marshall, T.E. Russell, Cuba Gooding Jr."
166426,Espen Sandberg,"Johnny Depp, Javier Bardem, Geoffrey Rush"
158011,Brad Anderson,"Halle Berry, Abigail Breslin, Morris Chestnut"
62835,Olivier Megaton,"Zoe Saldaña, Cliff Curtis, Callum Blue"
